School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M296,High School of Hospitality Management,2,1,1,1,269,35,135,-2,1.0,189
02M586,Harvey Milk High School,2,1,1,1,40,3,45,-1,1.0,189
02M655,The High School for Climate Justice,2,1,1,1,298,60,152,105,1.0,189
03M402,The Urban Assembly School for Green Careers,3,1,1,1,494,39,120,45,1.0,189
04M372,Esperanza Preparatory Academy,4,1,1,1,322,114,106,120,1.0,189
04M680,"Heritage School, The",4,1,1,1,482,60,80,-2,1.0,189
05M670,Thurgood Marshall Academy for Learning and Social Change,5,1,1,1,340,71,108,-2,1.0,189
06M348,Washington Heights Expeditionary Learning School,6,1,1,1,689,175,100,115,1.0,189
06M462,The College Academy,6,1,1,1,814,121,121,129,1.0,189
07X221,South Bronx Preparatory: A College Board School,7,1,1,1,782,161,123,148,1.0,189
07X495,University Heights Secondary School,7,1,2,2,2181,787,140,203,1.0,1
08X561,Bronx Compass High School,8,1,1,1,520,70,130,-2,1.0,189
09X250,Eximius College Preparatory Academy: A College Board School,9,1,1,1,761,90,108,-2,1.0,189
09X403,Bronx International High School,9,1,1,1,537,54,135,12,1.0,189
09X525,Bronx Leadership Academy High School,9,1,1,1,1027,107,105,123,1.0,189
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),10,1,1,1,648,268,210,288,1.0,189
10X228,Jonas Bronck Academy,10,1,1,1,372,91,90,-2,1.0,189
10X351,Bronx Collaborative High School,10,1,1,1,582,47,150,-2,1.0,189
12X242,Mott Hall V,12,1,1,1,1001,282,81,91,1.0,189
12X267,Bronx Latin,12,1,1,1,841,149,81,113,1.0,189
12X271,East Bronx Academy for the Future,12,1,1,1,464,97,90,79,1.0,189
13K594,Gotham Professional Arts Academy,13,1,1,1,364,61,81,-2,1.0,189
13K670,Benjamin Banneker Academy,13,1,2,2,1912,451,225,318,1.0,1
14K071,Juan Morel Campos Secondary School,14,1,1,1,341,78,101,69,1.0,189
14K561,Williamsburg Preparatory School,14,1,1,1,1131,226,180,236,1.0,189
14K586,Lyons Community School,14,1,1,1,174,32,81,-2,1.0,189
14K614,Young Women's Leadership School of Brooklyn,14,1,1,1,251,47,93,59,1.0,189
15K448,Brooklyn Collaborative Studies,15,1,1,1,693,99,90,110,1.0,189
15K463,Cyberarts Studio Academy,15,1,1,1,256,30,125,-2,1.0,189
